Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00   106605     0.00     0.00  std::_Rb_tree_const_iterator<short> std::__lc_rai<std::bidirectional_iterator_tag, std::bidirectional_iterator_tag>::__newlast1<std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
  0.00      0.15     0.00   106605     0.00     0.00  bool std::lexicographical_compare<std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
  0.00      0.15     0.00   106605     0.00     0.00  bool std::__lexicographical_compare_aux<std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
  0.00      0.15     0.00   106605     0.00     0.00  bool std::__lexicographical_compare_impl<std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.15     0.00   106605     0.00     0.00  bool std::operator< <short, std::less<short>, std::allocator<short> >(std::set<short, std::less<short>, std::allocator<short> > const&, std::set<short, std::less<short>, std::allocator<short> > const&)
  0.00      0.15     0.00   106605     0.00     0.00  bool std::operator< <short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&)
  0.00      0.15     0.00   102710     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_base(std::allocator<short> const&)
  0.00      0.15     0.00   100358     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.15     0.00    98161     0.00     0.00  __gnu_cxx::new_allocator<CardCombo::CardPack>::max_size() const
  0.00      0.15     0.00    96468     0.00     0.00  CardCombo::CardPack&& std::forward<CardCombo::CardPack>(std::remove_reference<CardCombo::CardPack>::type&)
  0.00      0.15     0.00    95726     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::_Alloc_node(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >&)
  0.00      0.15     0.00    95282     0.00     0.00  std::pair<double, CardCombo>&& std::forward<std::pair<double, CardCombo> >(std::remove_reference<std::pair<double, CardCombo> >::type&)
  0.00      0.15     0.00    93937     0.00     0.00  std::vector<std::pair<double, CardCombo>, std::allocator<std::pair<double, CardCombo> > >::size() const
  0.00      0.15     0.00    89218     0.00     0.00  CardCombo::CardCombo(CardCombo&&)
  0.00      0.15     0.00    89218     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_impl::_Vector_impl(std::allocator<CardCombo::CardPack>&&)
  0.00      0.15     0.00    89218     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_Vector_base(std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >&&)
  0.00      0.15     0.00    89218     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::_Vector_impl(std::allocator<short>&&)
  0.00      0.15     0.00    89218     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_base(std::_Vector_base<short, std::allocator<short> >&&)
